club,name,age,nationality,position,short_pos,fee,dealing_club,dealing_country,movement,window,league,season,is_loan,loan_status
FC Barcelona,Rodrigo de Paul,27,Argentina,Central Midfield,CM,40000000.0,Udinese Calcio,Italy,in,summer,Laliga,2021,False,
FC Barcelona,Matheus Cunha,22,Brazil,Centre-Forward,CF,30000000.0,Hertha BSC,Germany,in,summer,Laliga,2021,False,
FC Barcelona,Antoine Griezmann,30,France,Second Striker,SS,50000000.0,Barcelona,Spain,in,summer,Laliga,2021,True,loan with fee
FC Barcelona,Marcos Paulo,20,Portugal,Left Winger,LW,9000000.0,Fluminense,Brazil,in,summer,Laliga,2021,False,
FC Barcelona,Benjamin Lecomte,30,France,Goalkeeper,GK,9000000.0,Monaco,France,in,summer,Laliga,2021,True,free loan
FC Barcelona,Saúl Ñíguez,26,Spain,Central Midfield,CM,40000000.0,Chelsea,England,out,summer,Laliga,2021,True,loan with fee
FC Barcelona,Nicolás Ibáñez,26,Argentina,Centre-Forward,CF,4500000.0,CF Pachuca,Mexico,out,summer,Laliga,2021,False,
FC Barcelona,Francisco Montero,22,Spain,Centre-Back,CB,4000000.0,Besiktas,Turkey,out,summer,Laliga,2021,False,
FC Barcelona,Vitolo,31,Spain,Left Winger,LW,4000000.0,Getafe,Spain,out,summer,Laliga,2021,True,free loan
FC Barcelona,Manu Sánchez,20,Spain,Left-Back,LB,8000000.0,CA Osasuna,Spain,out,summer,Laliga,2021,True,free loan
FC Barcelona,Ivo Grbic,25,Croatia,Goalkeeper,GK,3500000.0,LOSC Lille,France,out,summer,Laliga,2021,True,free loan
FC Barcelona,Marcos Paulo,20,Portugal,Left Winger,LW,9000000.0,Famalicão,Portugal,out,summer,Laliga,2021,True,free loan
FC Barcelona,Nehuén Pérez,21,Argentina,Centre-Back,CB,4000000.0,Udinese Calcio,Italy,out,summer,Laliga,2021,True,free loan
FC Barcelona,Santiago Arias,29,Colombia,Right-Back,RB,5000000.0,Granada CF,Spain,out,summer,Laliga,2021,True,free loan
FC Barcelona,Axel Werner,25,Argentina,Goalkeeper,GK,1000000.0,Without Club,,out,summer,Laliga,2021,False,
FC Barcelona,Víctor Mollejo,20,Spain,Right Winger,RW,3000000.0,CD Tenerife,Spain,out,summer,Laliga,2021,True,free loan
