fifa_version,player_positions,overall,potential,fifa_age,height_cm,weight_kg,club_name,club_position,club_contract_valid_until_year,nationality_name,nation_position,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,name,age,fee,position,league
24.0,ST,91,94,22,195,94,Manchester City,ST,2027.0,Norway,ST,Left,3,3,5,High/Medium,Unique,"#Aerial threat, #Distance shooter, #Strength, #Clinical finisher, #Complete forward","Acrobatic +, Power Header, Quick Step",89.0,93.0,66.0,80.0,45.0,88.0,47,96,83,77,90,79,77,62,53,82,82,94,76,94,72,94,93,76,93,86,87,43,96,74,84,87.0,38,47,29,7,14,13,11,7,,90+3,90+3,90+3,82,86,86,86,82,82+3,82+3,82+3,79+3,74+3,74+3,74+3,79+3,62+3,63+3,63+3,63+3,62+3,60+3,62+3,62+3,62+3,60+3,19+3,Erling Haaland,22.0,170.0,Attack - Centre-Forward,EPL
24.0,ST,90,90,34,185,81,FC Barcelona,ST,2026.0,Poland,RS,Right,4,4,5,High/Medium,Unique,"#Aerial threat, #Dribbler, #Distance shooter, #Clinical finisher, #Complete forward","Power Header +, Finesse Shot, Chip Shot, Power Shot, Pinged Pass, First Touch, Trivela",75.0,91.0,80.0,87.0,44.0,84.0,76,93,91,84,89,86,79,85,70,90,76,75,77,93,83,91,92,76,89,84,81,49,94,81,90,88.0,35,42,19,15,6,12,8,10,,89+1,89+1,89+1,85,88,88,88,85,86+3,86+3,86+3,84+3,80+3,80+3,80+3,84+3,65+3,66+3,66+3,66+3,65+3,61+3,61+3,61+3,61+3,61+3,19+3,Robert Lewandowski,34.0,40.0,Attack - Centre-Forward,LaLiga
24.0,CB,86,89,23,189,89,FC Bayern München,RCB,2027.0,Netherlands,SUB,Right,3,2,3,Medium/High,Unique,#Strength,"Slide Tackle +, Power Shot, Long Ball Pass, Block, Bruiser",66.0,61.0,64.0,68.0,85.0,86.0,52,50,85,79,45,65,48,55,78,73,62,70,53,85,62,84,88,75,91,75,86,82,44,45,40,82.0,87,85,88,12,11,11,12,10,,68+3,68+3,68+3,63,65,65,65,63,65+3,65+3,65+3,65+3,70+3,70+3,70+3,65+3,76+3,80+3,80+3,80+3,76+3,78+3,85+3,85+3,85+3,78+3,19+3,Matthijs de Ligt,23.0,75.0,Defender - Centre-Back,Bundesliga
24.0,"CF, LM, ST",86,86,31,174,69,Al Nassr,LM,2027.0,Senegal,,Right,4,4,4,Medium/Medium,Unique,"#Poacher, #Dribbler, #Acrobat, #Complete forward","Rapid, Flair",85.0,83.0,79.0,87.0,44.0,74.0,78,85,79,83,75,87,77,64,71,86,84,85,87,88,88,85,85,79,70,78,75,35,85,83,75,84.0,42,42,38,10,10,15,7,14,,84+2,84+2,84+2,84,85,85,85,84,84+2,84+2,84+2,84+2,78+3,78+3,78+3,84+2,66+3,64+3,64+3,64+3,66+3,63+3,58+3,58+3,58+3,63+3,19+3,Sadio Mané,31.0,45.0,Attack - Left Winger,Bundesliga
24.0,"CF, CAM",86,86,29,177,75,Roma,RS,2025.0,Argentina,SUB,Left,3,4,3,High/Low,Unique,"#Dribbler, #Playmaker, #FK Specialist, #Complete midfielder","Flair +, Finesse Shot, Dead Ball, Technical, First Touch, Trivela, Acrobatic",80.0,85.0,85.0,90.0,40.0,60.0,82,83,58,86,90,90,89,88,79,93,84,76,88,79,90,84,73,72,60,89,43,42,82,91,87,79.0,32,41,39,5,4,4,5,8,,81+3,81+3,81+3,86,85,85,85,86,87-1,87-1,87-1,85+1,81+3,81+3,81+3,85+1,66+3,63+3,63+3,63+3,66+3,61+3,51+3,51+3,51+3,61+3,14+3,Paulo Dybala,29.0,30.0,Attack - Second Striker,SerieA
24.0,"CB, RB",85,89,24,180,75,FC Barcelona,RCB,2027.0,France,RB,Right,3,3,3,High/High,Normal (170-185),#Tactician ,"Jockey +, Slide Tackle, Quick Step, Relentless",84.0,45.0,68.0,75.0,86.0,80.0,62,47,80,82,32,72,42,26,75,77,85,83,71,86,74,48,90,78,80,40,78,86,47,62,43,82.0,87,86,84,11,10,8,14,13,,64+3,64+3,64+3,69,67,67,67,69,69+3,69+3,69+3,72+3,73+3,73+3,73+3,72+3,80+3,81+3,81+3,81+3,80+3,82+3,84+3,84+3,84+3,82+3,20+3,Jules Koundé,24.0,60.0,Defender - Centre-Back,LaLiga
24.0,GK,85,86,27,190,93,Manchester United,GK,2028.0,Cameroon,,Right,3,1,3,Medium/Medium,Stocky (185+),,Footwork,,,,,,,15,12,20,43,13,26,30,17,53,38,62,60,66,84,53,66,80,38,79,17,32,15,11,64,27,64.0,12,18,14,83,80,88,84,85,61.0,37+3,37+3,37+3,37,39,39,39,37,42+3,42+3,42+3,40+3,42+3,42+3,42+3,40+3,32+3,37+3,37+3,37+3,32+3,32+3,32+3,32+3,32+3,32+3,83+3,André Onana,27.0,20.0,Goalkeeper,SerieA
24.0,RB,85,85,32,173,71,Newcastle United,RB,2025.0,England,SUB,Right,4,3,2,Medium/Medium,Normal (170-185),"#Crosser, #FK Specialist","Whipped Cross +, Dead Ball, Long Throw",68.0,65.0,86.0,79.0,82.0,72.0,92,54,79,84,58,76,87,87,86,85,73,64,66,85,79,82,79,85,64,71,75,83,77,85,66,84.0,82,84,81,11,14,8,11,10,,73+2,73+2,73+2,77,77,77,77,77,78+2,78+2,78+2,80+2,83+2,83+2,83+2,80+2,83+2,83+2,83+2,83+2,83+2,82+2,80+2,80+2,80+2,82+2,19+2,Kieran Trippier,32.0,13.0,Defender - Right-Back,EPL
24.0,CB,85,85,30,190,85,Real Madrid,RCB,2026.0,Germany,LCB,Right,3,2,3,High/High,Lean (185+),#Strength,"Aerial +, Block",82.0,54.0,71.0,66.0,84.0,86.0,68,40,81,80,34,64,50,56,82,71,71,91,56,83,50,84,90,70,91,67,91,82,49,61,40,78.0,86,84,83,14,15,10,12,8,,67+3,67+3,67+3,66,67,67,67,66,67+3,67+3,67+3,69+3,72+3,72+3,72+3,69+3,78+3,81+3,81+3,81+3,78+3,80+3,84+1,84+1,84+1,80+3,20+3,Antonio Rüdiger,30.0,40.0,Defender - Centre-Back,LaLiga
24.0,"CDM, CM",84,89,23,187,81,Real Madrid,CDM,2028.0,France,RCM,Right,3,3,3,Medium/High,Lean (185+),,"Long Ball Pass, Jockey, Intercept, Anticipate, Bruiser, Relentless, Aerial",73.0,69.0,79.0,78.0,81.0,81.0,68,65,74,85,50,78,76,53,84,81,74,72,72,83,70,78,84,83,81,75,80,84,74,82,55,83.0,81,82,79,9,8,12,12,7,,75+3,75+3,75+3,76,77,77,77,76,79+3,79+3,79+3,78+3,81+3,81+3,81+3,78+3,79+3,83+3,83+3,83+3,79+3,79+3,81+3,81+3,81+3,79+3,17+3,Aurélien Tchouaméni,23.0,90.0,midfield - Defensive Midfield,LaLiga
