,name,full_name,age,height,nationality,place_of_birth,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter,league
1144,Enzo Barrenechea,Enzo Alan Tomás Barrenechea,21,1.86,Argentina,Villa María,0.9,0.9,midfield - Defensive Midfield,45,right,Juventus,6/30/2026,4/1/2023,SP,,SerieA
1328,Marvin Zeegelaar,Marvin Romeo Kwasie Zeegelaar,32,1.86,Netherlands  Suriname,Amsterdam,0.4,4,Defender - Left-Back,8,left,Udinese Calcio,6/30/2023,3/7/2023,,,SerieA
2374,Cheick Keita,,20,1.85,France  Mali,Champigny-sur-Marne,1.5,1.5,Defender - Centre-Back,43,right,Stade Reims,6/30/2026,3/1/2023,Nessim Zeggaie,,Ligue1
1555,Marios Oikonomou,Μάριος Οικονόμου,30,1.89,Greece,Ioannina,0.3,2.5,Defender - Centre-Back,5,right,Sampdoria,6/30/2023,2/17/2023,SPORTS CONNECTION,,SerieA
2085,Pape Cheikh,Pape Cheikh Diop Gueye,25,1.8,Senegal  Spain,Guédiawaye,1.5,7,midfield - Central Midfield,12,right,Elche CF,6/30/2023,2/14/2023,4MB,Nike,LaLiga
1570,Jesé,,30,1.78,Spain,Las Palmas de Gran Canaria,2,15,Attack - Left Winger,99,right,Sampdoria,6/30/2023,2/10/2023,Relatives,Nike,SerieA
401,André Ayew,André Morgan Rami Ayew,33,1.75,Ghana  France,Seclin,2.2,18,Attack - Left Winger,34,left,Nottm Forest,6/30/2023,2/2/2023,Wasserman,,Other
2495,Loïc Rémy,Loïc Alex Teliére Hubert Rémy,36,1.85,France  Martinique,Rillieux-la-Pape,0.15,19,Attack - Centre-Forward,14,right,Stade Brestois,6/30/2023,2/1/2023,Relatives,,Ligue1
2563,Cheick Oumar Konaté,,19,1.73,Mali,Bamoko,1,1,Defender - Centre-Back,15,,Clermont Foot,6/30/2026,2/1/2023,BLACKSKILL,,Other
2577,Aïman Maurer,,18,1.73,Morocco  France,Neuilly-sur-Seine,0.5,0.5,midfield - Attacking Midfield,22,right,Clermont Foot,6/30/2025,2/1/2023,,,Other
38,Enzo Fernández,Enzo Jeremías Fernández,22,1.78,Argentina,San Martín,85,85,midfield - Defensive Midfield,5,right,Chelsea,6/30/2031,1/31/2023,DE 9 FÚTBOL,,EPL
67,Jorginho,,31,1.78,Italy  Brazil,Imbituba,35,65,midfield - Defensive Midfield,20,right,Arsenal,6/30/2024,1/31/2023,Brezilya Agency,Puma,EPL
126,Marcel Sabitzer,,29,1.77,Austria,Wels,20,42,midfield - Central Midfield,15,right,Man Utd,6/30/2023,1/31/2023,ROGON,,EPL
151,Pedro Porro,Pedro Antonio Porro Sauceda,23,1.73,Spain,Don Benito,35,35,Defender - Right-Back,23,right,Tottenham,6/30/2023,1/31/2023,CAA Base Ltd,Nike,EPL
180,Harrison Ashby,Harrison Charles Ashby,21,1.79,Scotland  England,Milton Keynes,1,1,Defender - Right-Back,30,right,Newcastle,,1/31/2023,Wasserman,,EPL
221,Harry Souttar,Harry James Souttar,24,1.98,Australia  Scotland,Aberdeen,15,15,Defender - Centre-Back,15,right,Leicester,6/30/2028,1/31/2023,FullNinety,,EPL
314,Kamaldeen Sulemana,,21,1.75,Ghana,Techiman,22,22,Attack - Left Winger,20,right,Southampton,6/30/2027,1/31/2023,Relatives,,EPL
321,Paul Onuachu,Paul Ebere Onuachu,28,2.01,Nigeria,Owerri,17,22,Attack - Centre-Forward,12,right,Southampton,6/30/2026,1/31/2023,Niagara Sports ...,,EPL
375,Keylor Navas,Keilor Antonio Navas Gamboa,36,1.85,Costa Rica  Spain,San Isidro de El General,5,20,Goalkeeper,12,right,Nottm Forest,6/30/2023,1/31/2023,,,Other
382,Felipe,,33,1.9,Brazil,Mogi das Cruzes,3,32,Defender - Centre-Back,38,right,Nottm Forest,6/30/2024,1/31/2023,Bertolucci Sports,,Other
395,Jonjo Shelvey,,31,1.84,England  Ireland,Romford,7,18,midfield - Central Midfield,6,right,Nottm Forest,6/30/2025,1/31/2023,CAA Stellar,,Other
471,Albert Sambi Lokonga,Albert Mboyo Sambi Lokonga,23,1.83,Belgium  DR Congo,Verviers,15,16,midfield - Central Midfield,8,right,Crystal Palace,6/30/2023,1/31/2023,Stirr Associates,,EPL
472,Naouirou Ahamada,Naouirou Mohamed Ahamada,21,1.83,France  Comoros,Marseille,10,10,midfield - Central Midfield,29,right,Crystal Palace,6/30/2026,1/31/2023,YA'ATS SPORTS,adidas,EPL
486,Shane Duffy,Shane Patrick Michael Duffy,31,1.93,Ireland  Northern Ireland,Derry,2.5,12,Defender - Centre-Back,5,right,Fulham,6/30/2023,1/31/2023,CAA Base Ltd,,EPL
491,Cédric Soares,Cédric Ricardo Alves Soares,31,1.71,Portugal  Germany,Singen,4,15,Defender - Right-Back,12,right,Fulham,6/30/2023,1/31/2023,Sports Invest UK ltd,,EPL
494,Sasa Lukic,Саша Лукић,26,1.83,Serbia,Šabac,13,15,midfield - Central Midfield,28,right,Fulham,6/30/2027,1/31/2023,Friends & Football ...,Nike,EPL
509,Ilya Zabarnyi,Забарний Ілля Борисович,20,1.89,Ukraine,Kyiv,18,18,Defender - Centre-Back,27,right,Bournemouth,6/30/2028,1/31/2023,,,EPL
524,Hamed Junior Traorè,,23,1.77,Cote d'Ivoire,Abidjan,22,22,midfield - Attacking Midfield,22,right,Bournemouth,,1/31/2023,GG11,,EPL
542,João Cancelo,João Pedro Cavaco Cancelo,28,1.82,Portugal,Barreiro,60,70,Defender - Right-Back,22,right,Bayern Munich,6/30/2023,1/31/2023,Gestifute,Nike,Bundesliga
656,Philipp Max,,29,1.77,Germany,Viersen,6,20,Defender - Left-Back,32,left,E. Frankfurt,6/30/2023,1/31/2023,Sports360 GmbH,Nike,Bundesliga
827,Renato Veiga,Renato Palma Veiga,19,1.9,Portugal,Lisboa,1,1,midfield - Defensive Midfield,8,left,FC Augsburg,6/30/2023,1/31/2023,Mondo Victory,,Bundesliga
949,Tolga Cigerci,Tolga Ciğerci,31,1.85,Turkey  Germany,Nordenham,1.5,4.5,midfield - Defensive Midfield,6,right,Hertha BSC,6/30/2024,1/31/2023,ROGON,,Bundesliga
1006,Éder Balanta,Éder Fabián Álvarez Balanta,30,1.8,Colombia,Bogotá,3,6.5,midfield - Defensive Midfield,33,left,FC Schalke 04,6/30/2023,1/31/2023,no agent,,Bundesliga
1189,Diego Llorente,Diego Javier Llorente Ríos,29,1.86,Spain,Madrid,12,25,Defender - Centre-Back,14,right,AS Roma,6/30/2023,1/31/2023,Gelu Rodríguez,,SerieA
1217,Luca Pellegrini,,24,1.78,Italy,Roma,9,15,Defender - Left-Back,3,left,Lazio,6/30/2023,1/31/2023,Team Raiola,Puma,SerieA
1253,Antonin Barak,Antonín Barák,28,1.9,Czech Republic,Příbram,12,20,midfield - Attacking Midfield,72,left,Fiorentina,6/30/2027,1/31/2023,Relatives,,SerieA
1273,Nadir Zortea,,23,1.75,Italy,Feltre,2,2,Defender - Right-Back,21,right,Sassuolo,6/30/2023,1/31/2023,TMP SOCCER srl,,SerieA
1280,Nedim Bajrami,,24,1.79,Albania  Switzerland,Zürich,8,10,midfield - Attacking Midfield,20,right,Sassuolo,,1/31/2023,LIAN Sports Group,Nike,SerieA
1295,Andreaw Gravillon,Andreaw Rayan Gravillon,25,1.88,Guadeloupe  France,Pointe-à-Pitre,5,7,Defender - Centre-Back,5,right,Torino,6/30/2023,1/31/2023,AIS SPORT SERVICE,adidas,SerieA
1306,Ronaldo Vieira,Ronaldo Augusto Vieira Nan,24,1.78,England  Guinea-Bissau,Bissau,3,7,midfield - Central Midfield,14,right,Torino,6/30/2023,1/31/2023,CAA Base Ltd,,SerieA
1337,Florian Thauvin,Florian Tristan Mariano Thauvin,30,1.81,France,Orléans,7.5,50,Attack - Right Winger,26,left,Udinese Calcio,6/30/2025,1/31/2023,,adidas,SerieA
1354,Georgios Kyriakopoulos,Γεώργιος Κυριακόπουλος,27,1.82,Greece,Patras,5,5,Defender - Left-Back,77,left,Bologna,6/30/2023,1/31/2023,SPORTS CONNECTION,Nike,SerieA
1427,Emanuel Vignato,,22,1.75,Italy  Brazil,Negrar,2.8,6,Attack - Right Winger,55,right,FC Empoli,6/30/2023,1/31/2023,TMP SOCCER srl,,Other
1429,Roberto Piccoli,,22,1.9,Italy,Bergamo,3.5,4,Attack - Centre-Forward,91,right,FC Empoli,6/30/2024,1/31/2023,Gr Sports,,Other
1466,Pietro Ceccaroni,,27,1.88,Italy,Sarzana,2,2.5,Defender - Centre-Back,18,left,Lecce,6/30/2023,1/31/2023,Italian Managers ...,Puma,Other
1467,Simone Romagnoli,,33,1.93,Italy,Cremona,0.75,1.9,Defender - Centre-Back,4,right,Lecce,,1/31/2023,Football Now Limited,,Other
1533,Oliver Abildgaard,Oliver Abildgaard Nielsen,26,1.92,Denmark,Aalborg,5,7.5,midfield - Defensive Midfield,28,left,Hellas Verona,6/30/2023,1/31/2023,CHJ Management,,SerieA
