fifa_version,player_positions,overall,potential,value_eur,height_cm,weight_kg,club_name,club_position,club_contract_valid_until_year,nationality_name,nation_position,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,name
24.0,"ST, CF",88,88,74000000.0,176,73,Atlético Madrid,RS,2026.0,France,CAM,Left,3,4,5,High/High,"#Dribbler, #Engine, #Acrobat, #Clinical finisher, #Complete forward","Finesse Shot +, Chip Shot, Pinged Pass, Technical, Flair, Trivela, Acrobatic",80.0,88.0,87.0,88.0,58.0,75.0,82,90,85,89,85,88,89,85,86,89,80,80,89,90,84,85,85,86,69,87,74,57,90,88,79,89.0,45,63,60,14,8,14,13,14,,87+1,87+1,87+1,87,88,88,88,87,88,88,88,87+1,85+3,85+3,85+3,87+1,75+3,74+3,74+3,74+3,75+3,73+3,68+3,68+3,68+3,73+3,21+3,Antoine Griezmann
24.0,"CAM, CM",87,90,109000000.0,178,68,Arsenal,RCM,2026.0,Norway,RCM,Left,2,5,4,High/Medium,"#Dribbler, #Playmaker, #Complete midfielder","Pinged Pass +, Incisive Pass, Whipped Cross, Technical, Flair, First Touch, Trivela",72.0,81.0,88.0,87.0,61.0,64.0,85,82,55,90,79,86,83,85,87,89,74,71,85,84,82,82,66,81,56,83,64,66,83,89,63,86.0,67,55,54,14,15,15,8,10,,79+3,79+3,79+3,84,84,84,84,84,86+3,86+3,86+3,84+3,84+3,84+3,84+3,84+3,75+3,75+3,75+3,75+3,75+3,71+3,64+3,64+3,64+3,71+3,20+3,Martin Ødegaard
24.0,GK,87,90,81500000.0,195,88,Borussia Dortmund,GK,2026.0,Switzerland,,Right,3,1,3,Medium/Medium,,"Far Throw, Footwork",,,,,,,13,10,13,39,10,24,13,12,33,34,38,52,37,85,29,56,71,30,81,10,24,14,10,59,12,66.0,15,15,15,86,84,74,85,89,44.0,33+3,33+3,33+3,32,35,35,35,32,36+3,36+3,36+3,34+3,36+3,36+3,36+3,34+3,29+3,33+3,33+3,33+3,29+3,28+3,30+3,30+3,30+3,28+3,85+3,Gregor Kobel
24.0,GK,87,89,73000000.0,191,89,Milan,GK,2026.0,France,GK,Right,4,1,3,Medium/Medium,,Far Throw,,,,,,,18,15,17,65,16,31,38,16,61,40,50,53,41,85,56,65,75,39,78,20,35,25,15,65,15,68.0,23,16,19,85,82,87,85,89,51.0,39+3,39+3,39+3,39,42,42,42,39,46+3,46+3,46+3,43+3,48+3,48+3,48+3,43+3,37+3,43+3,43+3,43+3,37+3,35+3,35+3,35+3,35+3,35+3,85+3,Mike Maignan
24.0,"CDM, CM",86,89,84000000.0,181,79,Newcastle United,RCM,2028.0,Italy,LCM,Right,4,3,3,Medium/High,,"Long Ball Pass, Slide Tackle, Relentless",84.0,74.0,81.0,81.0,82.0,84.0,78,69,70,85,68,78,75,81,83,85,81,86,81,83,83,82,84,86,82,83,84,84,75,79,64,84.0,83,84,81,13,9,8,7,7,,78+3,78+3,78+3,80,80,80,80,80,81+3,81+3,81+3,81+3,82+3,82+3,82+3,81+3,83+3,84+3,84+3,84+3,83+3,83+3,82+3,82+3,82+3,83+3,17+3,Sandro Tonali
24.0,CB,85,85,44000000.0,191,81,Manchester United,RES,2025.0,France,,Right,4,2,3,Medium/High,,"Anticipate +, Aerial",79.0,49.0,64.0,67.0,86.0,78.0,42,46,85,78,42,61,46,52,76,76,75,83,62,86,39,52,90,65,84,53,78,85,55,59,43,82.0,88,87,83,11,11,9,5,14,,66+3,66+3,66+3,65,66,66,66,65,67+3,67+3,67+3,66+3,71+3,71+3,71+3,66+3,75+3,80+3,80+3,80+3,75+3,78+3,84+1,84+1,84+1,78+3,19+3,Raphaël Varane
24.0,"LW, LM",85,85,57500000.0,180,81,Manchester City,LW,2027.0,England,LW,Right,3,4,3,High/High,#Dribbler,"Press Proven +, Finesse Shot, Flair, First Touch",76.0,76.0,84.0,88.0,53.0,73.0,83,76,48,85,72,89,83,74,81,90,79,74,84,84,85,76,71,83,71,79,65,49,82,87,58,88.0,58,54,48,11,6,11,10,13,,77+3,77+3,77+3,84,83,83,83,84,85,85,85,84+1,82+3,82+3,82+3,84+1,71+3,70+3,70+3,70+3,71+3,67+3,61+3,61+3,61+3,67+3,18+3,Jack Grealish
24.0,CB,84,88,52500000.0,185,79,Milan,LCB,2027.0,England,,Right,4,2,2,Medium/High,,Block,86.0,40.0,59.0,66.0,86.0,82.0,53,33,83,73,32,61,38,40,63,66,80,90,74,84,71,56,92,74,84,45,83,85,37,48,27,81.0,86,90,82,10,13,10,11,7,,60+2,60+2,60+2,61,60,60,60,61,61+2,61+2,61+2,63+2,65+2,65+2,65+2,63+2,77+2,77+2,77+2,77+2,77+2,79+2,84+2,84+2,84+2,79+2,18+2,Fikayo Tomori
24.0,GK,84,87,43000000.0,191,77,Arsenal,GK,2026.0,England,SUB,Right,3,1,2,Medium/Medium,,,,,,,,,15,14,15,56,16,18,17,16,57,36,47,50,53,83,49,65,65,35,59,15,35,24,18,65,25,65.0,20,16,15,84,79,87,81,86,48.0,35+2,35+2,35+2,36,39,39,39,36,42+2,42+2,42+2,39+2,44+2,44+2,44+2,39+2,33+2,40+2,40+2,40+2,33+2,32+2,31+2,31+2,31+2,32+2,83+2,Aaron Ramsdale
24.0,"CB, LB",82,88,44500000.0,185,80,Manchester City,SUB,2028.0,Croatia,LCB,Left,4,3,3,High/High,,"Block +, Power Header, Incisive Pass, Long Ball Pass, Jockey",78.0,54.0,69.0,74.0,82.0,83.0,61,42,78,76,54,75,59,59,74,76,80,76,68,79,67,76,90,79,83,56,86,82,58,65,61,75.0,81,84,84,5,8,6,9,11,,67+3,67+3,67+3,68,69,69,69,68,69+3,69+3,69+3,71+3,73+3,73+3,73+3,71+3,77+3,79+3,79+3,79+3,77+3,79+3,82+3,82+3,82+3,79+3,16+3,Josko Gvardiol
